field:ID,name_zh,:LABEL
org_0,中国科学院长春应用化学研究所,机构
org_1,苏州大学,机构
org_2,中南大学,机构
org_3,中国科学院、水利部成都山地灾害与环境研究所,机构
org_4,上海交通大学,机构
org_5,香港浸会大学,机构
org_6,东北林业大学,机构
org_7,大连理工大学,机构
org_8,南京大学,机构
org_9,西安科技大学,机构
org_10,上海市农业科学院,机构
org_11,北京工业大学,机构
org_12,中国科学技术大学,机构
org_13,中国人民解放军第二军医大学,机构
org_14,中国医学科学院病原生物学研究所,机构
org_15,中国科学院福建物质结构研究所,机构
org_16,兰州大学,机构
org_17,中国农业科学院蔬菜花卉研究所,机构
org_18,安徽师范大学,机构
org_19,中国科学院地质与地球物理研究所,机构
org_20,江苏大学,机构
org_21,华东师范大学,机构
org_22,北京交通大学,机构
org_23,上海大学,机构
org_24,中国农业科学院北京畜牧兽医研究所,机构
org_25,武汉大学,机构
org_26,东北师范大学,机构
org_27,中国石油大学,机构
org_28,南京工程学院,机构
org_29,河北农业大学,机构
org_30,南京理工大学,机构
org_31,中国科学院上海生命科学研究院,机构
org_32,湘潭大学,机构
org_33,湖南大学,机构
org_34,中国农业大学,机构
org_35,西北工业大学,机构
org_36,西安理工大学,机构
org_37,河北医科大学,机构
org_38,北京林业大学,机构
org_39,华中师范大学,机构
org_40,华南理工大学,机构
org_41,中国科学院微生物研究所,机构
org_42,东华大学,机构
org_43,上海理工大学,机构
org_44,山西农业大学,机构
org_45,华南师范大学,机构
org_46,中国科学院沈阳应用生态研究所,机构
org_47,中国科学院生态环境研究中心,机构
org_48,河海大学,机构
org_49,北京化工大学,机构
org_50,广东工业大学,机构
org_51,中山大学,机构
org_52,湖南农业大学,机构
org_53,中国科学院南京地理与湖泊研究所,机构
org_54,山东师范大学,机构
org_55,中国科学院上海硅酸盐研究所,机构
org_56,青岛理工大学,机构
org_57,中国科学院电工研究所,机构
org_58,中国科学院心理研究所,机构
org_59,天津大学,机构
org_60,西交利物浦大学,机构
org_61,中国农业科学院植物保护研究所,机构
org_62,中国人民解放军第三军医大学,机构
org_63,中国林业科学研究院林业研究所,机构
org_64,哈尔滨工程大学,机构
org_65,湖南师范大学,机构
org_66,中国矿业大学,机构
org_67,北京市气象局,机构
org_68,中国科学院近代物理研究所,机构
org_69,中国林业科学研究院木材工业研究所,机构
org_70,湖南科技大学,机构
org_71,首都经济贸易大学,机构
org_72,华南农业大学,机构
org_73,中国人民大学,机构
org_74,武汉科技大学,机构
org_75,中国地质大学,机构
org_76,中国水产科学研究院黑龙江水产研究所,机构
org_77,中国科学院广州生物医药与健康研究院,机构
org_78,济南大学,机构
org_79,中国科学院青岛生物能源与过程研究所,机构
org_80,中国科学院海洋研究所,机构
org_81,燕山大学,机构
org_82,浙江省农业科学院,机构
org_83,中国科学院南海海洋研究所,机构
org_84,苏州科技大学,机构
org_85,浙江大学,机构
org_86,厦门市气象局,机构
org_87,中国科学院遗传与发育生物学研究所,机构
org_88,中国科学院高能物理研究所,机构
org_89,中国科学院物理研究所,机构
org_90,河南师范大学,机构
org_91,重庆大学,机构
org_92,东南大学,机构
org_93,中国科学院合肥物质科学研究院,机构
org_94,中国人民解放军信息工程大学,机构
org_95,浙江理工大学,机构
org_96,太原理工大学,机构
org_97,中国科学院长春光学精密机械与物理研究所,机构
org_98,中国农业科学院郑州果树研究所,机构
org_99,中国科学院青海盐湖研究所,机构
org_100,沈阳工业大学,机构
org_101,重庆交通大学,机构
org_102,西北农林科技大学,机构
org_103,中国农业科学院哈尔滨兽医研究所,机构
org_104,中国科学院过程工程研究所,机构
org_105,哈尔滨理工大学,机构
org_106,中国科学院东北地理与农业生态研究所,机构
org_107,长沙理工大学,机构
org_108,广州大学,机构
org_109,四川大学,机构
org_110,中国海洋大学,机构
org_111,西南交通大学,机构
org_112,杭州师范大学,机构
org_113,西安测绘研究所,机构
org_114,电子科技大学,机构
org_115,大连工业大学,机构
org_116,中国科学院半导体研究所,机构
org_117,武汉理工大学,机构
org_118,中国工程物理研究院激光聚变研究中心,机构
org_119,天津师范大学,机构
org_120,江苏科技大学,机构
org_121,温州医科大学,机构
org_122,大连医科大学,机构
org_123,水利部交通运输部国家能源局南京水利科学研究院,机构
org_124,河北科技大学,机构
org_125,南昌大学,机构
org_126,江苏省农业科学院,机构
org_127,华北电力大学,机构
org_128,中国科学院广州地球化学研究所,机构
org_129,江南大学,机构
org_130,东北电力大学,机构
org_131,大连海事大学,机构
org_132,中国人民解放军第四军医大学,机构
org_133,安徽农业大学,机构
org_134,南方医科大学,机构
org_135,湖北工业大学,机构
org_136,信阳师范学院,机构
org_137,中国农业科学院柑桔研究所,机构
org_138,中国科学院宁波材料技术与工程研究所,机构
org_139,华北理工大学,机构
org_140,北京信息科技大学,机构
org_141,江苏师范大学,机构
org_142,南京师范大学,机构
org_143,南华大学,机构
org_144,中国林业科学研究院森林生态环境与保护研究所,机构
org_145,宁波大学,机构
org_146,上海师范大学,机构
org_147,华侨大学,机构
org_148,青岛大学,机构
org_149,山东科技大学,机构
org_150,华北水利水电大学,机构
org_151,南京财经大学,机构
org_152,中国农业科学院茶叶研究所,机构
org_153,核工业西南物理研究院,机构
org_154,中国人民解放军空军工程大学,机构
org_155,杭州电子科技大学,机构
org_156,中国热带农业科学院热带生物技术研究所,机构
org_157,沈阳师范大学,机构
org_158,山西师范大学,机构
org_159,华东理工大学,机构
org_160,中国科学院植物研究所,机构
org_161,中国科学院生物物理研究所,机构
org_162,中国极地研究中心,机构
org_163,福建医科大学,机构
org_164,南开大学,机构
org_165,暨南大学,机构
org_166,国家林业局桉树研究开发中心,机构
org_167,山东农业大学,机构
org_168,江西师范大学,机构
org_169,河北大学,机构
org_170,中国科学院烟台海岸带研究所,机构
org_171,江苏省原子医学研究所,机构
org_172,盐城工学院,机构
org_173,广东海洋大学,机构
org_174,中国农业科学院生物技术研究所,机构
org_175,南京航空航天大学,机构
org_176,中国水稻研究所,机构
org_177,东北大学,机构
org_178,西安工程大学,机构
org_179,嘉兴学院,机构
org_180,上海中医药大学,机构
org_181,中国医学科学院药物研究所,机构
org_182,中国地震局工程力学研究所,机构
org_183,济南市环境保护科学研究院,机构
org_184,北京科技大学,机构
org_185,大连大学,机构
org_186,中国水产科学研究院淡水渔业研究中心,机构
org_187,中国科学院古脊椎动物与古人类研究所,机构
org_188,中国地震局地质研究所,机构
org_189,北京航空航天大学,机构
org_190,中国人民解放军装甲兵工程学院,机构
org_191,哈尔滨师范大学,机构
org_192,安徽理工大学,机构
org_193,湖南中医药大学,机构
org_194,北京医院,机构
org_195,吉林农业大学,机构
org_196,天津市人工影响天气办公室,机构
org_197,中国科学院重庆绿色智能技术研究院,机构
org_198,新疆大学,机构
org_199,中国电力科学研究院,机构
org_200,国际竹藤中心,机构
org_201,中国中医科学院医学实验中心,机构
org_202,北京大学,机构
org_203,北京理工大学,机构
org_204,中南民族大学,机构
org_205,山东理工大学,机构
org_206,南方科技大学,机构
org_207,成都信息工程大学,机构
org_208,淮阴工学院,机构
org_209,吉林大学,机构
org_210,哈尔滨工业大学,机构
org_211,浙江工业大学,机构
org_212,西安建筑科技大学,机构
org_213,同济大学,机构
org_214,中国地震局地震预测研究所,机构
org_215,中国传媒大学,机构
org_216,川北医学院,机构
org_217,香港大学,机构
org_218,广东省生态环境技术研究所,机构
org_219,汕头大学,机构
org_220,中国科学院昆明植物研究所,机构
org_221,厦门大学,机构
org_222,国家地质实验测试中心,机构
org_223,首都师范大学,机构
org_224,中国科学院国家天文台,机构
org_225,北京师范大学,机构
org_226,中国科学院城市环境研究所,机构
org_227,上海电力学院,机构
org_228,中国人民解放军国防科学技术大学,机构
org_229,南京中医药大学,机构
org_230,中国中医科学院中医临床基础医学研究所,机构
org_231,黑龙江省中医药科学院,机构
org_232,山西医科大学,机构
org_233,广东医科大学,机构
org_234,山东省医学科学院,机构
org_235,中国人民解放军沈阳军区总医院,机构
org_236,中国农业科学院作物科学研究所,机构
org_237,河北师范大学,机构
org_238,青岛科技大学,机构
org_239,上海市徐汇区中心医院,机构
org_240,郑州大学,机构
org_241,中国人民解放军总医院,机构
org_242,成都中医药大学,机构
org_243,湖北医药学院,机构
org_244,中国中医科学院西苑医院,机构
org_245,黑龙江省林业科学院,机构
org_246,黑龙江中医药大学,机构
org_247,中国科学院南京土壤研究所,机构
org_248,清华大学,机构
org_249,华中科技大学,机构
org_250,珠海澳大科技研究院,机构
org_251,陕西师范大学,机构
org_252,安徽大学,机构
org_253,长春师范大学,机构
org_254,复旦大学,机构
org_255,中国科学院工程热物理研究所,机构
org_256,河南大学,机构
org_257,福州大学,机构
org_258,哈尔滨医科大学,机构
org_259,西安交通大学,机构
org_260,沈阳农业大学,机构
org_261,湖北大学,机构
org_262,扬州大学,机构
org_263,中国农业科学院深圳农业基因组研究所,机构
org_264,内蒙古农业大学,机构
org_265,中国科学院数学与系统科学研究院,机构
org_266,华中农业大学,机构
org_267,上海海洋大学,机构
org_268,上海应用技术大学,机构
org_269,北京市农林科学院,机构
org_270,中国科学院国家空间科学中心,机构
org_271,国家纳米科学中心,机构
org_272,烟台大学,机构
org_273,浙江农林大学,机构
org_274,太原师范学院,机构
org_275,成都理工大学,机构
org_276,中国科学院上海有机化学研究所,机构
org_277,中国科学院寒区旱区环境与工程研究所,机构
org_278,重庆医科大学,机构
org_279,中国气象科学研究院,机构
org_280,中国地质科学院矿产资源研究所,机构
org_281,中国科学院青藏高原研究所,机构
org_282,中国计量科学研究院,机构
org_283,北京建筑大学,机构
org_284,山东大学,机构
org_285,中国水利水电科学研究院,机构
org_286,中国地质科学院地质力学研究所,机构
org_287,河南理工大学,机构
org_288,中国地质科学院地质研究所,机构
org_289,浙江科技学院,机构
org_290,中国人民武装警察部队后勤学院,机构
org_291,安徽医科大学,机构
org_292,沈阳药科大学,机构
org_293,中国医学科学院医药生物技术研究所,机构
org_294,泰山医学院,机构
org_295,中国科学院深圳先进技术研究院,机构
org_296,上海市精神卫生中心,机构
org_297,安徽中医药大学,机构
org_298,陕西中医药大学,机构
org_299,中国医学科学院整形外科医院,机构
org_300,浙江省人民医院,机构
org_301,深圳市疾病预防控制中心,机构
org_302,北京教育考试院,机构
org_303,北京农学院,机构
org_304,中国科学院兰州化学物理研究所,机构
org_305,北京工商大学,机构
org_306,齐鲁工业大学,机构
org_307,中国科学院动物研究所,机构
org_308,西北大学,机构
org_309,内蒙古师范大学,机构
org_310,中国科学院上海药物研究所,机构
org_311,湖州师范学院,机构
org_312,天津工业大学,机构
org_313,天津城建大学,机构
org_314,温州大学,机构
org_315,泉州师范学院,机构
org_316,山东省农业科学院,机构
org_317,淮阴师范学院,机构
org_318,南京工业大学,机构
org_319,南京林业大学,机构
org_320,兰州交通大学,机构
org_321,南通大学,机构
org_322,河南农业大学,机构
org_323,常州大学,机构
org_324,中国科学院遥感与数字地球研究所,机构
org_325,合肥工业大学,机构
org_326,北京邮电大学,机构
org_327,中国科学院理化技术研究所,机构
org_328,重庆邮电大学,机构
org_329,天津农学院,机构
org_330,河南工业大学,机构
org_331,中国科学院光电技术研究所,机构
org_332,南京邮电大学,机构
org_333,广州医科大学,机构
org_334,中国社会科学院数量经济与技术经济研究所,机构
org_335,山东工商学院,机构
org_336,中国科学院成都生物研究所,机构
org_337,济宁医学院,机构
org_338,天津商业大学,机构
org_339,青岛农业大学,机构
org_340,武汉市农业科学技术研究院畜牧兽医科学研究所,机构
org_341,西南民族大学,机构
org_342,中冶建筑研究总院有限公司,机构
org_343,中国农业科学院棉花研究所,机构
org_344,西南科技大学,机构
org_345,中国人民解放军理工大学,机构
org_346,重庆三峡学院,机构
org_347,云南大学,机构
org_348,四川农业大学,机构
org_349,中国农业科学院农业环境与可持续发展研究所,机构
org_350,北京纳米能源与系统研究所,机构
org_351,新乡学院,机构
org_352,中国科学院声学研究所,机构
org_353,国家海洋环境预报中心,机构
org_354,中国地震局地壳应力研究所,机构
org_355,曲阜师范大学,机构
org_356,中国人民解放军军事医学科学院,机构
org_357,中国科学院水生生物研究所,机构
org_358,中国科学院信息工程研究所,机构
org_359,常州工学院,机构
org_360,渤海大学,机构
org_361,山西中医学院,机构
org_362,湖南省中医药研究院,机构
org_363,西安石油大学,机构
org_364,中国林业科学研究院林产化学工业研究所,机构
org_365,上海科技大学,机构
org_366,首都儿科研究所,机构
org_367,中国测绘科学研究院,机构
org_368,中国农业科学院农业质量标准与检测技术研究所,机构
org_369,中国农业科学院饲料研究所,机构
org_370,中国医科大学,机构
org_371,景德镇陶瓷大学,机构
org_372,中国人民解放军陆军军官学院,机构
org_373,中国航天空气动力技术研究院,机构
org_374,南京医科大学,机构
org_375,湖南省农业科学院,机构
org_376,天津科技大学,机构
org_377,北京市肿瘤防治研究所,机构
org_378,广东省心血管病研究所,机构
org_379,杭州市肿瘤医院,机构
org_380,浙江海洋大学,机构
org_381,北京空间飞行器总体设计部,机构
org_382,中国科学院软件研究所,机构
org_383,中国科学院上海技术物理研究所,机构
org_384,中国原子能科学研究院,机构
org_385,阜阳师范学院,机构
org_386,中国科学院地理科学与资源研究所,机构
org_387,国家心血管病中心,机构
org_388,交通运输部天津水运工程科学研究所,机构
org_389,安徽建筑大学,机构
org_390,沈阳化工大学,机构
org_391,湖南工业大学,机构
org_392,中国科学院科技战略咨询研究院,机构
org_393,中国医学科学院医学生物学研究所,机构
org_394,成都大学,机构
org_395,太原科技大学,机构
org_396,中国科学院深海科学与工程研究所,机构
org_397,辽宁师范大学,机构
org_398,石河子大学,机构
org_399,国家海洋环境监测中心,机构
org_400,深圳大学,机构
org_401,河南科技大学,机构
org_402,江西理工大学,机构
org_403,航天材料及工艺研究所,机构
org_404,徐州医科大学,机构
org_405,东华理工大学,机构
org_406,河北北方学院,机构
org_407,中国地质调查局武汉地质调查中心,机构
org_408,南阳理工学院,机构
org_409,西南财经大学,机构
org_410,塔里木大学,机构
org_411,中国农业科学院蜜蜂研究所,机构
org_412,中央民族大学,机构
org_413,中国科学院力学研究所,机构
org_414,桂林电子科技大学,机构
org_415,国家气象中心,机构
org_416,北京中医药大学,机构
org_417,滨州医学院,机构
org_418,中国科学院上海巴斯德研究所,机构
org_419,上海海事大学,机构
org_420,三峡大学,机构
org_421,中国科学院国家天文台长春人造卫星观测站,机构
org_422,北京市预防医学研究中心,机构
org_423,北京应用物理与计算数学研究所,机构
org_424,武汉体育学院,机构
org_425,长安大学,机构
org_426,重庆科技学院,机构
org_427,鲁东大学,机构
org_428,对外经济贸易大学,机构
org_429,山西大同大学,机构
org_430,国家林业局北京林业机械研究所,机构
org_431,中国气象局北京城市气象研究所,机构
org_432,中国科学院苏州纳米技术与纳米仿生研究所,机构
org_433,贵州大学,机构
org_434,广东省人民医院,机构
org_435,浙江省肿瘤医院,机构
org_436,北京市中医研究所,机构
org_437,浙江省中医药研究院,机构
org_438,大连民族大学,机构
org_439,沈阳理工大学,机构
org_440,山东建筑大学,机构
org_441,辽宁工程技术大学,机构
org_442,中国地震局地球物理研究所,机构
org_443,佛山科学技术学院,机构
org_444,中国林业科学研究院资源信息研究所,机构
org_445,河北地质大学,机构
org_446,国家粮食局科学研究院,机构
org_447,南京市高淳区速诚基础与交叉科学研究中心,机构
org_448,广东省农业科学院蔬菜研究所,机构
org_449,钢铁研究总院,机构
org_450,北京矿冶研究总院,机构
org_451,长春理工大学,机构
org_452,上海财经大学,机构
org_453,国家食品安全风险评估中心,机构
org_454,中国气象局气象干部培训学院,机构
org_455,西安工业大学,机构
org_456,中国科学院空间应用工程与技术中心,机构
org_457,云南农业大学,机构
org_458,中国石油天然气股份有限公司勘探开发研究院,机构
org_459,西北师范大学,机构
org_460,中国科学院计算技术研究所,机构
org_461,东莞理工学院,机构
org_462,中国特种设备检测研究院,机构
org_463,兰州理工大学,机构
org_464,中国医学科学院基础医学研究所,机构
org_465,华东交通大学,机构
org_466,西安邮电大学,机构
org_467,长江大学,机构
org_468,西南大学,机构
org_469,黑龙江八一农垦大学,机构
org_470,北京回龙观医院,机构
org_471,总装备部工程设计研究总院,机构
org_472,上海博物馆,机构
org_473,宁夏大学,机构
org_474,中国建筑材料科学研究总院,机构
org_475,枣庄学院,机构
org_476,中国科学院成都有机化学有限公司,机构
org_477,黑龙江大学,机构
org_478,中国医学科学院,机构
org_479,中国人民解放军防化学院,机构
org_480,中国航天员科研训练中心,机构
org_481,长春工业大学,机构
org_482,吉林省农业科学院,机构
org_483,中国药科大学,机构
org_484,国家体育总局体育科学研究所,机构
org_485,辽宁科技大学,机构
org_486,中国疾病预防控制中心营养与健康所,机构
org_487,天津医科大学,机构
org_488,中国科学院武汉植物园,机构
org_489,合肥师范学院,机构
org_490,陕西科技大学,机构
org_491,重庆市畜牧科学院,机构
org_492,广东外语外贸大学,机构
org_493,内蒙古大学,机构
org_494,云南中医学院,机构
org_495,中国医学科学院医学实验动物研究所,机构
org_496,航空总医院,机构
org_497,中国林业科学研究院,机构
org_498,广东技术师范学院,机构
org_499,中国水产科学研究院,机构
org_500,国家气候中心,机构
org_501,中国信息安全测评中心,机构
org_502,天津市气象科学研究所,机构
org_503,沈阳大学,机构
org_504,广西师范大学,机构
org_505,中国人民解放军成都军区总医院,机构
org_506,中国科学院电子学研究所,机构
org_507,中国科学院昆明动物研究所,机构
org_508,中国中医科学院针灸研究所,机构
org_509,福建师范大学,机构
org_510,中国林业科学研究院资源昆虫研究所,机构
org_511,福建省农业科学院,机构
org_512,中国人民解放军南京军区南京总医院,机构
org_513,上海电机学院,机构
org_514,安徽工程大学,机构
org_515,上海第二工业大学,机构
org_516,内蒙古工业大学,机构
org_517,国家卫星气象中心,机构
org_518,首都医科大学,机构
org_519,北京印刷学院,机构
org_520,集美大学,机构
org_521,济宁学院,机构
org_522,武汉纺织大学,机构
org_523,香港城市大学,机构
org_524,中国中医科学院广安门医院,机构
org_525,中国科学院自动化研究所,机构
org_526,厦门理工学院,机构
org_527,大连交通大学,机构
org_528,吉林师范大学,机构
org_529,中国疾病预防控制中心环境与健康相关产品安全所,机构
org_530,山东中医药大学,机构
org_531,湖南杂交水稻研究中心,机构
org_532,中国核动力研究设计院,机构
org_533,郑州航空工业管理学院,机构
org_534,中央财经大学,机构
org_535,中国农业科学院烟草研究所,机构
org_536,中国科学院国家授时中心,机构
org_537,福建工程学院,机构
org_538,浙江树人学院,机构
org_539,中国农业科学院果树研究所,机构
org_540,佛山市第一人民医院,机构
org_541,浙江省疾病预防控制中心,机构
org_542,湖北中医药大学,机构
org_543,湖北科技学院,机构
org_544,中国科学院天津工业生物技术研究所,机构
org_545,中国食品发酵工业研究院,机构
org_546,中原工学院,机构
org_547,深圳市慢性病防治中心,机构
org_548,昆明医科大学,机构
org_549,上海工程技术大学,机构
org_550,中国农业科学院农田灌溉研究所,机构
org_551,华北科技学院,机构
org_552,沈阳航空航天大学,机构
org_553,广西壮族自治区肿瘤防治研究所,机构
org_554,山东省医学科学院基础医学研究所,机构
org_555,广西中医药大学,机构
org_556,中国空间技术研究院,机构
org_557,中国科学院微电子研究所,机构
org_558,山东省眼科研究所,机构
org_559,江苏省血吸虫病防治研究所,机构
org_560,中国中医科学院中药研究所,机构
org_561,福建农林大学,机构
org_562,江苏省中国科学院植物研究所,机构
org_563,北京蛋白质组研究中心,机构
org_564,中国人民解放军济南军区总医院,机构
org_565,湖南医药学院,机构
org_566,香港中文大学,机构
org_567,中国人民解放军总参谋部第六十一研究所,机构
org_568,香港理工大学,机构
org_569,北京联合大学,机构
